msci_index,last,day,previous_price
USA,39926.934,0.0053,39716.436884512084
CANADA,24209.786,0.0083,24010.49885946643
SWITZERLAND,46280.91,0.0051,46046.0750174112
UNITED KINGDOM,23024.879,0.003,22956.010967098708
JAPAN,22923.678,0.0054,22800.555002983885
PACIFIC ex JAPAN,19714.748,0.0015,19685.220169745382
GERMANY,19189.167,0.006999999999999999,19055.77656405164
NORDIC COUNTRIES,65676.221,0.004,65414.56274900399
FRANCE,21404.496,0.0018,21366.03713316031
ITALY,4314.81,-0.0005,4316.968484242121
SPAIN,16105.635,0.0,16105.635
EUROPE,24585.122,0.0033,24504.25794876906
WORLD,28793.619,0.005,28650.367164179108
EM (EMERGING MARKETS),1014.635,-0.002,1016.6683366733466
WORLD SMALL CAP,1106.052,0.0073,1098.036334756279
WORLD ENHANCED VALUE,3934.414,0.0043,3917.568455640745
WORLD MOMENTUM,7719.634,0.0011,7711.151733093597
WORLD SECTOR NEUTRAL QUALITY,4537.092,0.0005,4534.824587706147
EUROPE SECTOR NEUTRAL QUALITY,2743.301,0.0017000000000000001,2738.6453029849254
USA SECTOR NEUTRAL QUALITY,12728.073,0.0015,12709.009485771343
WORLD MINIMUM VOLATILITY (GBP),6671.847,0.0037,6647.252166982165
