Name,Last Price,Volume,+/-,Timestamp
SAP SE,169.06,652.03 m,2.16,03/03/26 20:57
Siemens Energy AG,156.65,597.10 m,0.80,03/03/26 21:11
Siemens AG,230.00,552.83 m,1.57,03/03/26 20:49
Allianz SE,360.30,463.00 m,1.38,03/03/26 21:05
Rheinmetall AG,"1,594.50",400.86 m,0.92,03/03/26 20:48
Deutsche Bank AG,28.50,332.62 m,1.82,03/03/26 20:50
Deutsche Telekom AG,32.98,316.22 m,1.10,03/03/26 21:11
Deutsche Börse AG,240.20,307.08 m,0.84,03/03/26 21:04
Infineon Technologies AG,42.30,288.24 m,1.48,03/03/26 20:15
BASF SE,45.90,282.85 m,1.03,03/03/26 20:41
Bayer AG,38.40,279.29 m,0.23,03/03/26 20:56
Münchener Rück AG,531.00,246.33 m,1.22,03/03/26 20:29
Beiersdorf AG,85.18,230.06 m,1.82,03/03/26 21:03
RWE AG St,53.54,209.18 m,0.64,03/03/26 20:39
adidas AG,150.00,189.17 m,1.97,03/03/26 21:12
Mercedes Benz Group AG (former Daimler),56.24,183.74 m,0.90,03/03/26 20:41
Commerzbank AG,32.00,176.32 m,1.07,03/03/26 20:42
DHL Aktie (Deutsche Post),47.09,146.79 m,0.73,03/03/26 20:17
Vonovia SE,27.02,139.71 m,1.12,03/03/26 20:42
E.ON SE,18.75,129.23 m,0.37,03/03/26 20:58
BMW AG St,83.20,128.25 m,0.82,03/03/26 20:15
Volkswagen AG Vz,94.62,126.24 m,1.11,03/03/26 20:53
Heidelberg Materials AG,182.00,110.91 m,0.97,03/03/26 20:13
Airbus SE,177.78,91.93 m,1.40,03/03/26 21:05
MTU Aero Engines AG,351.30,85.84 m,1.12,03/03/26 20:48
Henkel AG & Co. KGaA Vz,77.26,60.70 m,0.05,03/03/26 18:31
Siemens Healthineers AG,40.69,60.39 m,1.55,03/03/26 19:36
Fresenius Medical Care AG,39.75,59.38 m,-0.23,03/03/26 18:28
Fresenius SE & Co. KGaA,48.58,55.59 m,0.77,03/03/26 20:15
DAIMLER TRUCK HLDG NA ON (EN),40.13,55.56 m,0.78,03/03/26 21:11
Zalando SE (EN),19.32,48.17 m,0.84,03/03/26 20:13
Hannover Rück SE,249.60,47.57 m,0.97,03/03/26 21:10
Symrise AG,73.20,45.32 m,-4.31,03/03/26 17:35
Continental AG,68.30,43.37 m,1.55,03/03/26 19:44
Merck KGaA,121.90,42.81 m,0.45,03/03/26 20:16
Qiagen NV Registered Shs,40.52,31.85 m,-1.90,03/03/26 18:08
GEA Group Aktiengesellschaft,62.30,27.32 m,-3.19,03/03/26 17:35
Brenntag SE,49.18,24.65 m,-3.57,03/03/26 17:37
Porsche Automobil Holding SE,34.03,24.21 m,0.44,03/03/26 20:25
Scout24 SE,69.00,21.91 m,-1.92,03/03/26 17:35
