Symbol,Company,Weight,Price,Chg,% Chg,Timestamp
NVDA,Nvidia,7.08%,179.70,-2.78,-1.52%,2026-03-03T22:18:56.385Z
AAPL,Apple Inc.,6.28%,263.77,-0.95,-0.36%,2026-03-03T22:18:56.385Z
MSFT,Microsoft,4.85%,403.29,4.74,1.19%,2026-03-03T22:18:56.385Z
AMZN,Amazon,3.62%,208.08,-0.31,-0.15%,2026-03-03T22:18:56.385Z
GOOGL,Alphabet Inc. (Class A),3.07%,302.33,-4.19,-1.37%,2026-03-03T22:18:56.385Z
GOOG,Alphabet Inc. (Class C),2.86%,302.44,-3.93,-1.28%,2026-03-03T22:18:56.385Z
META,Meta Platforms,2.68%,653.73,0.17,0.03%,2026-03-03T22:18:56.385Z
AVGO,Broadcom,2.41%,313.21,-5.61,-1.76%,2026-03-03T22:18:56.385Z
TSLA,"Tesla, Inc.",2.38%,391.60,-11.72,-2.91%,2026-03-03T22:18:56.385Z
BRK.B,Berkshire Hathaway,1.68%,480.81,0.63,0.13%,2026-03-03T22:18:56.385Z
WMT,Walmart,1.65%,127.67,0.57,0.45%,2026-03-03T22:18:56.385Z
LLY,Lilly (Eli),1.54%,1005.88,-12.10,-1.19%,2026-03-03T22:18:56.385Z
JPM,JPMorgan Chase,1.31%,300.15,2.59,0.87%,2026-03-03T22:18:56.385Z
XOM,ExxonMobil,1.02%,151.72,-2.50,-1.62%,2026-03-03T22:18:56.385Z
V,Visa Inc.,1.00%,320.43,-0.08,-0.03%,2026-03-03T22:18:56.385Z
JNJ,Johnson & Johnson,0.97%,247.29,-1.27,-0.51%,2026-03-03T22:18:56.385Z
MA,Mastercard,0.75%,518.66,-2.34,-0.45%,2026-03-03T22:18:56.385Z
COST,Costco,0.73%,1007.75,4.98,0.50%,2026-03-03T22:18:56.385Z
ORCL,Oracle Corporation,0.69%,148.65,-0.60,-0.40%,2026-03-03T22:18:56.385Z
MU,Micron Technology,0.69%,378.01,-34.66,-8.40%,2026-03-03T22:18:56.385Z
ABBV,AbbVie,0.67%,233.42,-0.84,-0.36%,2026-03-03T22:18:56.385Z
NFLX,Netflix,0.67%,97.32,0.23,0.24%,2026-03-03T22:18:56.385Z
CVX,Chevron Corporation,0.61%,188.64,-0.96,-0.51%,2026-03-03T22:18:56.385Z
PG,Procter & Gamble,0.60%,159.38,-4.13,-2.53%,2026-03-03T22:18:56.385Z
HD,Home Depot (The),0.59%,366.55,-4.26,-1.15%,2026-03-03T22:18:56.385Z
BAC,Bank of America,0.58%,49.95,0.14,0.28%,2026-03-03T22:18:56.385Z
PLTR,Palantir Technologies,0.57%,147.45,2.28,1.57%,2026-03-03T22:18:56.385Z
GE,GE Aerospace,0.57%,333.77,-11.97,-3.46%,2026-03-03T22:18:56.385Z
KO,Coca-Cola Company (The),0.55%,79.46,-0.76,-0.95%,2026-03-03T22:18:56.385Z
CAT,Caterpillar Inc.,0.54%,719.60,-32.73,-4.35%,2026-03-03T22:18:56.385Z
AMD,Advanced Micro Devices,0.50%,190.65,-7.97,-4.01%,2026-03-03T22:18:56.385Z
CSCO,Cisco,0.50%,78.63,-0.79,-0.99%,2026-03-03T22:18:56.385Z
MRK,Merck & Co.,0.48%,119.69,-1.72,-1.42%,2026-03-03T22:18:56.385Z
AMAT,Applied Materials,0.45%,350.25,-21.93,-5.89%,2026-03-03T22:18:56.385Z
RTX,RTX Corporation,0.45%,206.68,-5.48,-2.59%,2026-03-03T22:18:56.385Z
PM,Philip Morris International,0.45%,177.94,-5.88,-3.20%,2026-03-03T22:18:56.385Z
LRCX,Lam Research,0.44%,216.44,-14.56,-6.30%,2026-03-03T22:18:56.385Z
MS,Morgan Stanley,0.43%,165.48,-1.52,-0.91%,2026-03-03T22:18:56.385Z
UNH,UnitedHealth Group,0.42%,288.60,-6.33,-2.15%,2026-03-03T22:18:56.385Z
GS,Goldman Sachs,0.42%,861.36,-0.34,-0.04%,2026-03-03T22:18:56.385Z
WFC,Wells Fargo,0.41%,82.53,-0.05,-0.07%,2026-03-03T22:18:56.385Z
TMUS,T-Mobile US,0.39%,215.88,-0.23,-0.10%,2026-03-03T22:18:56.385Z
MCD,McDonald's,0.38%,331.99,-2.83,-0.85%,2026-03-03T22:18:56.385Z
LIN,Linde plc,0.38%,501.64,-7.69,-1.51%,2026-03-03T22:18:56.385Z
IBM,IBM,0.37%,244.63,5.26,2.20%,2026-03-03T22:18:56.385Z
GEV,GE Vernova,0.37%,842.61,-38.57,-4.38%,2026-03-03T22:18:56.385Z
PEP,PepsiCo,0.36%,164.41,-2.87,-1.71%,2026-03-03T22:18:56.385Z
INTC,Intel,0.35%,43.07,-2.43,-5.34%,2026-03-03T22:18:56.385Z
VZ,Verizon,0.35%,50.81,0.83,1.67%,2026-03-03T22:18:56.385Z
AXP,American Express,0.34%,306.97,-0.46,-0.15%,2026-03-03T22:18:56.385Z
AMGN,Amgen,0.33%,380.04,-5.66,-1.47%,2026-03-03T22:18:56.385Z
T,AT&T,0.32%,28.60,0.59,2.11%,2026-03-03T22:18:56.385Z
