Ticker,Name,Price,Change,% Change,Volume,Time,Timestamp
AV/:LN,Aviva PLC,651.6,-29.40,-4.32%,8.065 M,11:37 AM,2026-03-03T20:58:53.349Z
BATS:LN,British American Tobacco PLC,4464,-154.00,-3.33%,2.995 M,11:39 AM,2026-03-03T20:58:53.349Z
CNA:LN,Centrica PLC,192.25,-4.45,-2.26%,26.352 M,11:37 AM,2026-03-03T20:58:53.349Z
BBOX:LN,Tritax Big Box REIT PLC,165.1,-7.10,-4.12%,9.019 M,11:37 AM,2026-03-03T20:58:53.349Z
AZN:LN,AstraZeneca PLC,14932,-320.00,-2.10%,1.558 M,11:38 AM,2026-03-03T20:58:53.349Z
BNZL:LN,Bunzl PLC,2216,-30.00,-1.34%,1.582 M,11:37 AM,2026-03-03T20:58:53.349Z
BT/A:LN,BT Group PLC,209,-2.40,-1.14%,17.138 M,11:37 AM,2026-03-03T20:58:53.349Z
BRBY:LN,Burberry Group PLC,1073.5,-35.00,-3.16%,1.057 M,11:37 AM,2026-03-03T20:58:53.349Z
ADM:LN,Admiral Group PLC,2882,-90.00,-3.03%,715.168 K,11:37 AM,2026-03-03T20:58:53.349Z
BEZ:LN,Beazley PLC,1290,-1.00,-0.08%,11.999 M,11:36 AM,2026-03-03T20:58:53.349Z
BAB:LN,Babcock International Group PLC,1380,+5.00,+0.36%,1.543 M,11:37 AM,2026-03-03T20:58:53.349Z
BARC:LN,Barclays PLC,422.55,-14.80,-3.38%,56.435 M,11:36 AM,2026-03-03T20:58:53.349Z
BA/:LN,BAE Systems PLC,2220,-21.00,-0.94%,5.736 M,11:38 AM,2026-03-03T20:58:53.349Z
CCH:LN,Coca-Cola HBC AG,4596,-152.00,-3.20%,577.553 K,11:35 AM,2026-03-03T20:58:53.349Z
AUTO:LN,Autotrader Group PLC,474.5,-10.10,-2.08%,3.623 M,11:37 AM,2026-03-03T20:58:53.349Z
BLND:LN,British Land Co PLC/The,382.4,-18.80,-4.69%,3.222 M,11:37 AM,2026-03-03T20:58:53.349Z
ANTO:LN,Antofagasta PLC,3915,-243.00,-5.84%,1.284 M,11:37 AM,2026-03-03T20:58:53.349Z
AAF:LN,Airtel Africa PLC,352.6,-7.60,-2.11%,4.997 M,11:37 AM,2026-03-03T20:58:53.349Z
ALW:LN,Alliance Witan PLC,1242,-36.00,-2.82%,897.528 K,11:36 AM,2026-03-03T20:58:53.349Z
AAL:LN,Anglo American PLC,3452,-138.00,-3.84%,4.239 M,11:37 AM,2026-03-03T20:58:53.349Z
ABF:LN,Associated British Foods PLC,1905.5,-9.00,-0.47%,905.152 K,11:35 AM,2026-03-03T20:58:53.349Z
BKG:LN,Berkeley Group Holdings PLC,4120,-154.00,-3.60%,346.59 K,11:37 AM,2026-03-03T20:58:53.349Z
