Code,Name,Currency,Market cap (m),Price,Change,Change %,Timestamp
MTLN,METLEN ENERGY & METALS PLC ORD EUR1.00,EUR,"4,180.97",36.10,2.50,7.44%,2026-03-04T22:14:56.748Z
STJ,ST.JAMES'S PLACE PLC ORD 15P,GBX,"6,682.29","1,331.50",63.50,5.01%,2026-03-04T22:14:56.748Z
RR.,ROLLS-ROYCE HOLDINGS PLC ORD SHS 20P,GBX,"109,814.71","1,363.00",60.00,4.60%,2026-03-04T22:14:56.748Z
INF,INFORMA PLC ORD 0.1P,GBX,"9,983.07",811.60,32.60,4.19%,2026-03-04T22:14:56.748Z
ENT,ENTAIN PLC ORD EUR0.01,GBX,"3,557.48",578.20,22.00,3.96%,2026-03-04T22:14:56.748Z
ITRK,INTERTEK GROUP PLC ORD 1P,GBX,"5,975.63","4,034.00",152.00,3.92%,2026-03-04T22:14:56.748Z
ICG,ICG PLC ORD 26 1/4P,GBX,"4,610.04","1,642.00",54.00,3.40%,2026-03-04T22:14:56.748Z
ANTO,ANTOFAGASTA PLC ORD 5P,GBX,"38,596.29","4,045.00",130.00,3.32%,2026-03-04T22:14:56.748Z
NXT,NEXT PLC ORD 10P,GBX,"15,806.74","13,335.00",375.00,2.89%,2026-03-04T22:14:56.748Z
MRO,MELROSE INDUSTRIES PLC ORD GBP0.001,GBX,"6,778.23",557.00,15.20,2.81%,2026-03-04T22:14:56.748Z
PCT,POLAR CAPITAL TECHNOLOGY TRUST PLC ORD 2.5P,GBX,"5,468.91",503.00,13.00,2.65%,2026-03-04T22:14:56.748Z
SDLF,STANDARD LIFE PLC ORD 10P,GBX,"7,175.21",731.50,18.50,2.59%,2026-03-04T22:14:56.748Z
CTEC,CONVATEC GROUP PLC ORD 10P,GBX,"4,640.82",243.20,5.80,2.44%,2026-03-04T22:14:56.748Z
AV.,AVIVA PLC ORD 32 17/19P,GBX,"19,924.22",667.40,15.80,2.43%,2026-03-04T22:14:56.748Z
IMB,IMPERIAL BRANDS PLC ORD 10P,GBX,"25,204.51","3,270.00",73.00,2.28%,2026-03-04T22:14:56.748Z
HSBA,HSBC HLDGS PLC ORD $0.50 (UK REG),GBX,"216,888.93","1,291.40",28.60,2.27%,2026-03-04T22:14:56.748Z
SMT,SCOTTISH MORTGAGE INV TST PLC ORD 5P,GBX,"12,666.18","1,199.00",26.50,2.26%,2026-03-04T22:14:56.748Z
MNG,M&G PLC ORD £0.05,GBX,"7,291.29",309.30,6.70,2.21%,2026-03-04T22:14:56.748Z
BA.,BAE SYSTEMS PLC ORD 2.5P,GBX,"66,570.99","2,269.00",49.00,2.21%,2026-03-04T22:14:56.748Z
III,3I GROUP PLC ORD 73 19/22P,GBX,"31,970.68","3,187.00",67.00,2.15%,2026-03-04T22:14:56.748Z
LAND,LAND SECURITIES GROUP PLC ORD 10 2/3P,GBX,"4,574.53",627.00,13.00,2.12%,2026-03-04T22:14:56.748Z
AAF,AIRTEL AFRICA PLC ORD USD0.50,GBX,"12,853.83",360.00,7.40,2.10%,2026-03-04T22:14:56.748Z
STAN,STANDARD CHARTERED PLC ORD USD0.50,GBX,"37,838.02","1,714.50",33.50,1.99%,2026-03-04T22:14:56.748Z
PSON,PEARSON PLC ORD 25P,GBX,"6,039.08",977.60,19.00,1.98%,2026-03-04T22:14:56.748Z
IAG,INTL CONSOLIDATED AIRLINES GROUP SA ORD EUR0.10 (CDI),GBX,"17,288.47",386.20,7.50,1.98%,2026-03-04T22:14:56.748Z
IMI,IMI PLC ORD 28 4/7P,GBX,"6,777.94","2,798.00",54.00,1.97%,2026-03-04T22:14:56.748Z
AAL,ANGLO AMERICAN PLC ORD USD0.623855311355311,GBX,"40,666.30","3,518.00",66.00,1.91%,2026-03-04T22:14:56.748Z
BARC,BARCLAYS PLC ORD 25P,GBX,"58,287.67",430.60,8.05,1.91%,2026-03-04T22:14:56.748Z
BBOX,TRITAX BIG BOX REIT PLC ORD 1P,GBX,"4,461.20",168.20,3.10,1.88%,2026-03-04T22:14:56.748Z
PRU,PRUDENTIAL PLC ORD 5P,GBX,"27,350.55","1,099.00",20.00,1.85%,2026-03-04T22:14:56.748Z
MNDI,MONDI PLC ORD EUR 0.22,GBX,"3,656.66",843.00,14.60,1.76%,2026-03-04T22:14:56.748Z
WTB,WHITBREAD PLC ORD 76 122/153P,GBX,"4,190.18","2,542.00",44.00,1.76%,2026-03-04T22:14:56.748Z
BLND,BRITISH LAND CO PLC ORD 25P,GBX,"3,823.59",389.00,6.60,1.73%,2026-03-04T22:14:56.748Z
FCIT,F&C INVESTMENT TRUST PLC ORD 25P,GBX,"5,868.73","1,260.00",21.00,1.70%,2026-03-04T22:14:56.748Z
MKS,MARKS & SPENCER GROUP PLC ORD 1P,GBX,"7,684.62",378.50,6.30,1.69%,2026-03-04T22:14:56.748Z
LGEN,LEGAL & GENERAL GROUP PLC ORD 2 1/2P,GBX,"14,574.79",260.00,4.20,1.64%,2026-03-04T22:14:56.748Z
GAW,GAMES WORKSHOP GROUP PLC ORD 5P,GBX,"5,637.29","17,340.00",280.00,1.64%,2026-03-04T22:14:56.748Z
