Name,Bid/Ask,Last,% Change,Date/Time,Turnover,Market Cap,YTD%,Timestamp
ACCOR,44.61/44.64,EUR44.60,-1.87%,17:21 CET,"21,165,539.35","10,468M",-5.75%,2026-03-05T17:10:34.342Z
AIR LIQUIDE,170.22/170.26,EUR170.16,-1.28%,17:21 CET,"90,394,922.44","98,572M",7.55%,2026-03-05T17:10:34.342Z
AIRBUS,176.20/176.24,EUR176.12,-0.61%,17:21 CET,"164,672,752.46","139,537M",-10.69%,2026-03-05T17:10:34.342Z
ARCELORMITTAL SA,49.49/49.51,EUR49.57,-6.30%,17:21 CET,"106,817,981.96","38,417M",35.33%,2026-03-05T17:10:34.342Z
AXA,38.11/38.12,EUR38.15,-1.57%,17:21 CET,"83,001,398.44","79,757M",-5.37%,2026-03-05T17:10:34.342Z
BNP PARIBAS ACT.A,87.01/87.03,EUR87.16,-2.42%,17:21 CET,"109,078,269.14","96,016M",10.56%,2026-03-05T17:10:34.342Z
BOUYGUES,49.40/49.42,EUR49.48,-1.47%,17:21 CET,"13,487,734.29","19,066M",13.24%,2026-03-05T17:10:34.342Z
BUREAU VERITAS,28.90/28.92,EUR28.86,-0.62%,17:21 CET,"14,910,238.79","13,099M",6.84%,2026-03-05T17:10:34.342Z
CAPGEMINI,109.65/109.70,EUR109.50,2.24%,17:21 CET,"32,772,703.08","18,607M",-24.71%,2026-03-05T17:10:34.342Z
CARREFOUR,15.20/15.20,EUR15.19,-0.23%,17:21 CET,"24,734,426.06","11,181M",6.96%,2026-03-05T17:10:34.342Z
CREDIT AGRICOLE,17.04/17.05,EUR17.07,-3.01%,17:21 CET,"45,374,781.24","51,652M",0.28%,2026-03-05T17:10:34.342Z
DANONE,70.02/70.06,EUR69.96,-1.38%,17:21 CET,"35,991,487.16","47,670M",-7.61%,2026-03-05T17:10:34.342Z
DASSAULT SYSTEMES,18.66/18.67,EUR18.52,1.90%,17:21 CET,"21,292,481.43","24,844M",-23.76%,2026-03-05T17:10:34.342Z
EIFFAGE,137.55/137.65,EUR138.00,-1.67%,17:21 CET,"13,687,784.90","13,524M",14.67%,2026-03-05T17:10:34.342Z
ENGIE,26.62/26.63,EUR26.68,-2.13%,17:21 CET,"69,126,833.49","67,832M",21.64%,2026-03-05T17:10:34.342Z
ESSILORLUXOTTICA,215.80/216.00,EUR215.90,-1.55%,17:21 CET,"66,372,769.10","100,024M",-18.75%,2026-03-05T17:10:34.342Z
EUROFINS SCIENT.,65.76/65.80,EUR65.72,-1.68%,17:20 CET,"7,808,081.68","11,972M",7.12%,2026-03-05T17:10:34.342Z
EURONEXT,140.80/140.90,EUR140.90,1.22%,17:20 CET,"20,306,837.05","14,610M",8.75%,2026-03-05T17:10:34.342Z
HERMES INTL,"1,899.00/1,900.00","EUR1,896.00",-1.76%,17:21 CET,"67,490,431.75","200,160M",-9.05%,2026-03-05T17:10:34.342Z
KERING,257.25/257.40,EUR257.10,0.08%,17:21 CET,"22,509,902.70","31,731M",-14.65%,2026-03-05T17:10:34.342Z
L'OREAL,370.40/370.55,EUR370.15,-1.11%,17:21 CET,"55,231,548.03","197,580M",2.10%,2026-03-05T17:10:34.342Z
LEGRAND,136.45/136.50,EUR136.75,-3.43%,17:21 CET,"58,309,689.70","35,862M",11.28%,2026-03-05T17:10:34.342Z
LVMH,504.20/504.30,EUR504.50,-0.57%,17:21 CET,"200,726,286.30","251,083M",-21.33%,2026-03-05T17:10:34.342Z
MICHELIN,31.26/31.27,EUR31.29,-1.97%,17:21 CET,"22,821,471.78","21,515M",12.75%,2026-03-05T17:10:34.342Z
ORANGE,17.66/17.67,EUR17.66,0.09%,17:21 CET,"30,225,799.80","46,977M",24.26%,2026-03-05T17:10:34.342Z
PERNOD RICARD,73.96/74.00,EUR73.76,1.54%,17:21 CET,"24,693,797.63","18,607M",-0.63%,2026-03-05T17:10:34.342Z
PUBLICIS GROUPE SA,75.94/75.96,EUR75.86,2.38%,17:21 CET,"19,644,803.17","19,292M",-16.38%,2026-03-05T17:10:34.342Z
RENAULT,28.58/28.60,EUR28.60,-1.41%,17:21 CET,"18,834,148.08","8,458M",-18.10%,2026-03-05T17:10:34.342Z
SAFRAN,315.60/315.80,EUR316.00,-3.36%,17:21 CET,"98,331,131.10","132,197M",9.95%,2026-03-05T17:10:34.342Z
SAINT GOBAIN,75.48/75.52,EUR75.60,-2.02%,17:21 CET,"73,554,775.85","37,409M",-11.27%,2026-03-05T17:10:34.342Z
SANOFI,77.60/77.61,EUR77.62,-2.03%,17:21 CET,"98,721,671.93","94,658M",-4.22%,2026-03-05T17:10:34.342Z
SCHNEIDER ELECTRIC,250.80/250.90,EUR251.00,-2.73%,17:21 CET,"102,539,896.15","144,858M",9.86%,2026-03-05T17:10:34.342Z
SOCIETE GENERALE,68.22/68.24,EUR68.26,-3.01%,17:21 CET,"107,552,022.13","51,313M",2.42%,2026-03-05T17:10:34.342Z
STELLANTIS NV,6.31/6.31,EUR6.30,-3.05%,17:21 CET,"23,971,101.65","18,288M",-30.89%,2026-03-05T17:10:34.342Z
STMICROELECTRONICS,28.50/28.51,EUR28.47,2.60%,17:21 CET,"68,958,775.48","25,940M",23.64%,2026-03-05T17:10:34.342Z
THALES,236.00/236.10,EUR236.10,-5.82%,17:21 CET,"59,887,574.20","48,623M",9.10%,2026-03-05T17:10:34.342Z
TOTALENERGIES,66.57/66.59,EUR66.79,-0.10%,17:21 CET,"271,835,131.40","146,163M",20.27%,2026-03-05T17:10:34.342Z
UNIBAIL-RODAMCO-WE,98.52/98.56,EUR98.62,-0.72%,17:21 CET,"11,950,711.29","14,136M",7.09%,2026-03-05T17:10:34.342Z
VEOLIA ENVIRON.,33.16/33.17,EUR33.19,-0.72%,17:21 CET,"25,846,666.24","24,618M",12.48%,2026-03-05T17:10:34.342Z
VINCI,131.20/131.30,EUR131.40,-2.05%,17:21 CET,"56,447,924.85","76,509M",11.75%,2026-03-05T17:10:34.342Z
