Name,Capi. USD,Change,5d. change,Varia. Jan 1.,Timestamp
SAP SE,227B,+2.15%,-0.72%,-17.94%,2026-03-05T17:00:30.904Z
SIEMENS AG,210B,-3.48%,-9.59%,-6.00%,2026-03-05T17:00:30.904Z
DEUTSCHE TELEKOM AG,185B,+0.18%,+0.46%,+19.52%,2026-03-05T17:00:30.904Z
AIRBUS SE,162B,-0.74%,-5.82%,-11.35%,2026-03-05T17:00:30.904Z
SIEMENS ENERGY AG,162B,-5.93%,-7.13%,+27.16%,2026-03-05T17:00:30.904Z
ALLIANZ SE,159B,-1.62%,-8.19%,-9.55%,2026-03-05T17:00:30.904Z
RHEINMETALL AG,87.42B,-5.58%,-7.59%,-0.90%,2026-03-05T17:00:30.904Z
MUNICH RE,79.17B,-0.49%,-3.03%,-5.37%,2026-03-05T17:00:30.904Z
INFINEON TECHNOLOGIES AG,66.52B,-3.74%,-9.56%,+12.11%,2026-03-05T17:00:30.904Z
DEUTSCHE BANK AG,63.25B,-2.43%,-10.07%,-15.69%,2026-03-05T17:00:30.904Z
MERCEDES-BENZ GROUP AG,62.48B,-1.54%,-5.68%,-7.36%,2026-03-05T17:00:30.904Z
MERCK KGAA,62.22B,-8.00%,-9.91%,-7.67%,2026-03-05T17:00:30.904Z
DHL GROUP,59.83B,-4.63%,-7.89%,-1.80%,2026-03-05T17:00:30.904Z
BMW AG,59.21B,-1.48%,-8.35%,-12.58%,2026-03-05T17:00:30.904Z
EON SE,57.38B,+0.24%,-4.30%,+17.33%,2026-03-05T17:00:30.904Z
VOLKSWAGEN AG,55.45B,-1.74%,-8.62%,-10.38%,2026-03-05T17:00:30.904Z
SIEMENS HEALTHINEERS AG,53.73B,-2.20%,-4.46%,-9.84%,2026-03-05T17:00:30.904Z
DEUTSCHE B&Ouml;RSE AG,51.3B,+0.46%,+6.75%,+8.09%,2026-03-05T17:00:30.904Z
BASF SE,47.19B,+0.61%,-6.50%,+4.50%,2026-03-05T17:00:30.904Z
RWE AG,44.28B,-1.39%,-2.38%,+16.22%,2026-03-05T17:00:30.904Z
BAYER AG,42.73B,+1.00%,-9.73%,+2.07%,2026-03-05T17:00:30.904Z
COMMERZBANK AG,40.7B,-2.68%,-13.17%,-13.46%,2026-03-05T17:00:30.904Z
HEIDELBERG MATERIALS AG,37.44B,-1.34%,-5.24%,-19.26%,2026-03-05T17:00:30.904Z
DAIMLER TRUCK HOLDING AG,37.41B,-1.83%,-2.87%,+10.53%,2026-03-05T17:00:30.904Z
HANNOVER RE,35.25B,+0.24%,-0.94%,-5.33%,2026-03-05T17:00:30.904Z
HENKEL AG & CO. KGAA,34.92B,-1.97%,-8.86%,+8.80%,2026-03-05T17:00:30.904Z
FRESENIUS SE & CO. KGAA,31.56B,-3.69%,-9.59%,-5.27%,2026-03-05T17:00:30.904Z
ADIDAS AG,29.24B,+2.33%,-10.71%,-14.17%,2026-03-05T17:00:30.904Z
VONOVIA SE,26.03B,-1.74%,-8.21%,+5.66%,2026-03-05T17:00:30.904Z
MTU AERO ENGINES AG,22.26B,-2.14%,-5.74%,-1.97%,2026-03-05T17:00:30.904Z
BEIERSDORF,21.28B,-1.41%,-22.02%,-11.89%,2026-03-05T17:00:30.904Z
CONTINENTAL AG,15.57B,-1.94%,-11.58%,-3.38%,2026-03-05T17:00:30.904Z
FRESENIUS MEDICAL CARE AG,12.52B,+1.40%,+1.22%,-2.60%,2026-03-05T17:00:30.904Z
PORSCHE AUTOMOBIL HOLDING SE,12.18B,-0.32%,-6.06%,-14.60%,2026-03-05T17:00:30.904Z
GEA GROUP AG,11.9B,-2.47%,-5.84%,+6.06%,2026-03-05T17:00:30.904Z
SYMRISE AG,11.49B,+2.45%,-5.12%,+5.52%,2026-03-05T17:00:30.904Z
QIAGEN N.V.,9.66B,-0.47%,-4.75%,-1.24%,2026-03-05T17:00:30.904Z
BRENNTAG SE,7.9B,-1.66%,-11.56%,-6.64%,2026-03-05T17:00:30.904Z
SCOUT24 SE,5.84B,+1.97%,+5.00%,-15.56%,2026-03-05T17:00:30.904Z
ZALANDO SE,5.83B,+3.64%,-1.26%,-19.57%,2026-03-05T17:00:30.904Z
