symbol,name,lastPrice,priceChange,percentChange,highPrice,lowPrice,volume,tradeTime
"A","Agilent Technologies",116.64,+1.57,+1.36%,116.71,113.32,3,118,434,03/09/26
"AAPL","Apple Inc",259.88,+2.42,+0.94%,261.15,253.68,37,997,270,16:29 ET
"ABBV","Abbvie Inc",227.45,-2.66,-1.16%,230.68,223.23,7,788,090,03/09/26
"ABNB","Airbnb Inc Cl A",134.03,+0.80,+0.60%,134.30,128.37,3,918,073,16:29 ET
"ABT","Abbott Laboratories",112.65,+3.09,+2.82%,112.74,108.94,13,553,092,03/09/26
"ACGL","Arch Capital Grp Ltd",95.62,-1.59,-1.64%,96.74,95.10,1,918,986,16:20 ET
"ACN","Accenture Plc",209.36,-5.64,-2.62%,215.65,205.83,7,764,435,03/09/26
"ADBE","Adobe Systems Inc",282.44,-1.18,-0.42%,285.20,277.90,4,669,897,16:29 ET
"ADI","Analog Devices",319.71,+3.90,+1.23%,319.90,307.22,5,898,051,16:27 ET
"ADM","Archer Daniels Midland",67.92,+0.48,+0.71%,68.74,66.31,3,646,000,03/09/26
"ADP","Automatic Data Processing",223.04,-3.20,-1.41%,225.49,220.38,4,276,694,16:29 ET
"ADSK","Autodesk Inc",260.75,-0.24,-0.09%,262.52,256.50,1,802,319,16:20 ET
"AEE","Ameren Corp",111.16,-0.36,-0.32%,111.30,109.95,1,696,890,03/09/26
"AEP","American Electric Power Company",131.86,-0.01,-0.01%,132.35,130.79,4,476,127,16:29 ET
"AES","The Aes Corp",14.19,+0.04,+0.28%,14.23,14.12,14,666,069,03/09/26
"AFL","Aflac Inc",110.18,-1.11,-1.00%,110.51,108.26,2,802,696,03/09/26
"AIG","American International Group",77.62,-1.10,-1.40%,78.53,76.50,5,986,195,03/09/26
"AIZ","Assurant Inc",219.67,-3.24,-1.45%,221.28,216.54,377,269,03/09/26
"AJG","Arthur J. Gallagher & Company",217.78,-10.35,-4.54%,226.90,215.28,1,961,081,03/09/26
"AKAM","Akamai Technologies",102.11,+2.22,+2.22%,103.07,98.49,2,867,950,16:27 ET
"ALB","Albemarle Corp",169.57,+7.28,+4.49%,169.81,157.51,2,418,654,03/09/26
"ALGN","Align Technology",175.05,+1.05,+0.60%,175.49,164.51,1,796,880,16:24 ET
"ALL","Allstate Corp",207.69,-4.63,-2.18%,211.64,205.76,1,406,918,03/09/26
