Name,Last Price,% Diff,Date,Time,Timestamp
ACCIONA,216.0000,3.65%,10/03/2026,17:35:15,2026-03-10T17:05:38.175Z
ACCIONA ENER,20.6400,4.98%,10/03/2026,17:35:15,2026-03-10T17:05:38.175Z
ACERINOX,12.5200,3.30%,10/03/2026,17:35:15,2026-03-10T17:05:38.175Z
ACS,107.1000,3.48%,10/03/2026,17:35:15,2026-03-10T17:05:38.175Z
AENA,25.4700,0.99%,10/03/2026,17:35:15,2026-03-10T17:05:38.175Z
AMADEUS,53.6200,-0.45%,10/03/2026,17:39:01,2026-03-10T17:05:38.175Z
ARCELORMIT.,49.4400,7.41%,10/03/2026,17:35:15,2026-03-10T17:05:38.175Z
B.SANTANDER,10.0120,5.73%,10/03/2026,17:42:31,2026-03-10T17:05:38.175Z
BA.SABADELL,3.1480,4.10%,10/03/2026,17:42:52,2026-03-10T17:05:38.175Z
BANKINTER,13.7050,2.62%,10/03/2026,17:35:15,2026-03-10T17:05:38.175Z
BBVA,19.0900,4.78%,10/03/2026,17:36:32,2026-03-10T17:05:38.175Z
CAIXABANK,10.2400,2.89%,10/03/2026,17:40:51,2026-03-10T17:05:38.175Z
CELLNEX,29.5200,0.96%,10/03/2026,17:36:37,2026-03-10T17:05:38.175Z
COLONIAL SFL,5.2450,1.25%,10/03/2026,17:35:15,2026-03-10T17:05:38.175Z
ENAGAS,14.6650,0.76%,10/03/2026,17:35:15,2026-03-10T17:05:38.175Z
ENDESA,34.1600,1.67%,10/03/2026,17:35:15,2026-03-10T17:05:38.175Z
FERROVIAL SE,57.1200,2.00%,10/03/2026,17:35:15,2026-03-10T17:05:38.175Z
FLUIDRA,20.7000,2.68%,10/03/2026,17:35:15,2026-03-10T17:05:38.175Z
GRIFOLS CL.A,9.7300,-1.94%,10/03/2026,17:35:15,2026-03-10T17:05:38.175Z
IAG,4.3420,5.13%,10/03/2026,17:39:18,2026-03-10T17:05:38.175Z
IBERDROLA,19.4250,1.60%,10/03/2026,17:40:28,2026-03-10T17:05:38.175Z
INDITEX,52.4600,3.27%,10/03/2026,17:43:55,2026-03-10T17:05:38.175Z
INDRA A,60.8500,1.42%,10/03/2026,17:35:37,2026-03-10T17:05:38.175Z
LOGISTA,30.5000,1.80%,10/03/2026,17:35:15,2026-03-10T17:05:38.175Z
MAPFRE,3.7140,2.26%,10/03/2026,17:35:15,2026-03-10T17:05:38.175Z
MERLIN,14.0000,2.12%,10/03/2026,17:35:15,2026-03-10T17:05:38.175Z
NATURGY,25.0400,0.32%,10/03/2026,17:35:15,2026-03-10T17:05:38.175Z
PUIG BRANDS,15.1500,1.47%,10/03/2026,17:35:15,2026-03-10T17:05:38.175Z
REDEIA,14.8600,0.68%,10/03/2026,17:37:23,2026-03-10T17:05:38.175Z
REPSOL,20.7500,-1.05%,10/03/2026,17:44:53,2026-03-10T17:05:38.175Z
ROVI,83.0500,3.42%,10/03/2026,17:35:15,2026-03-10T17:05:38.175Z
SACYR,4.2560,3.50%,10/03/2026,17:35:15,2026-03-10T17:05:38.175Z
SOLARIA,20.0500,4.75%,10/03/2026,17:35:15,2026-03-10T17:05:38.175Z
TELEFONICA,3.6150,0.89%,10/03/2026,17:40:00,2026-03-10T17:05:38.175Z
UNICAJA,2.5880,3.03%,10/03/2026,17:35:15,2026-03-10T17:05:38.175Z
