Kind,Name,Symbol,Price,Change,PctChange,PrevClose,QuoteTimestamp,DateUK,Timestamp,Source,Method,Open,High,Low,Volume,QuoteDate,QuoteTime,Index,Total,Up,Down,Unchanged,Unknown,InputFile
headline,DAX,^GDAXI,26371.619140625,105.478515625,0.4015759952362624,26266.140625,,2026-08-26,2026-08-26T15:07:50.457Z,yahoo/yfinance,history_1d,26255.41015625,26466.759765625,26196.919921875,0,2026-08-26,,,,,,,,
headline,IBEX 35,^IBEX,20119.5,62.900390625,0.31361443041221526,20056.599609375,,2026-08-26,2026-08-26T15:07:50.457Z,yahoo/yfinance,history_1d,20109.900390625,20178.5,20071.099609375,107858866,2026-08-26,,,,,,,,
headline,CAC 40,^FCHI,8487.7998046875,48.599609375,0.5758793280196665,8439.2001953125,,2026-08-26,2026-08-26T15:07:50.457Z,yahoo/yfinance,history_1d,8468.7900390625,8503.650390625,8467.580078125,0,2026-08-26,,,,,,,,
headline,FTSE 100,^FTSE,10898.9599609375,12.759765625,0.11721046275167933,10886.2001953125,,2026-08-26,2026-08-26T15:07:50.457Z,yahoo/yfinance,history_1d,10886.2001953125,10920.48046875,10855.6201171875,0,2026-08-26,,,,,,,,
headline,DAX ETF (UK),CG1.L,39979.75,489.75,1.2401873892124589,39490,,2026-08-26,2026-08-26T15:07:50.457Z,yahoo/yfinance,history_1d,39765,40030,39650,137,2026-08-26,,,,,,,,
headline,IBEX 35 ETF (UK),CS1.L,44601.140625,121.140625,0.27234852742805754,44480,,2026-08-26,2026-08-26T15:07:50.457Z,yahoo/yfinance,history_1d,44384.78515625,44730,44384.78515625,101,2026-08-26,,,,,,,,
headline,CAC 40 ETF (UK),CACX.L,7344.89990234375,33.89990234375,0.46368352268841473,7311,,2026-08-26,2026-08-26T15:07:50.457Z,yahoo/yfinance,history_1d,7316,7344.89990234375,7316,44,2026-08-26,,,,,,,,
headline,FTSE 100 ETF (UK),ISF.L,1068,5,0.4703668861712135,1063,,2026-08-26,2026-08-26T15:07:50.457Z,yahoo/yfinance,history_1d,1068.5999755859375,1070.199951171875,1064,3867521,2026-08-26,,,,,,,,
breadth,,,,,,,,2026-08-26,2026-08-26T15:08:05.671Z,MarketScreener,,,,,,,,DAX,39,26,13,0,0,dax_ms-constituents-260826-intraday.json
breadth,,,,,,,,2026-08-26,2026-08-26T15:08:05.671Z,BME Exchange,,,,,,,,IBEX 35,35,19,15,0,1,ibex35-constituents-260826-intraday.json
breadth,,,,,,,,2026-08-26,2026-08-26T15:08:05.671Z,Euronext,,,,,,,,CAC 40,40,21,17,2,0,cac40-constituents-260826-intraday.json
breadth,,,,,,,,2026-08-26,2026-08-26T15:08:05.671Z,LSE,,,,,,,,FTSE 100,99,68,25,0,6,ftse100-lse-constituents-260826-intraday.json
