Kind,Name,Symbol,Price,Change,PctChange,PrevClose,QuoteTimestamp,DateUK,Timestamp,Source,Method,Open,High,Low,Volume,QuoteDate,QuoteTime,Index,Total,Up,Down,Unchanged,Unknown,InputFile
headline,Nasdaq,^NDX,28853.78125,345.751953125,1.212823059512222,28508.029296875,,2026-06-11,2026-06-11T14:40:16.112Z,yahoo/yfinance,history_1d,28731.158203125,29010.556640625,28620.01953125,317443612,2026-06-11,,,,,,,,
headline,S&P 500,^GSPC,7306.91015625,39.919921875,0.5493322625667919,7266.990234375,,2026-06-11,2026-06-11T14:40:16.112Z,yahoo/yfinance,history_1d,7287.669921875,7327.89990234375,7276.919921875,745016648,2026-06-11,,,,,,,,
headline,TSX,^GSPTSE,34494.62109375,343.3203125,1.0052920522678663,34151.30078125,,2026-06-11,2026-06-11T14:40:16.112Z,yahoo/yfinance,history_1d,34232.578125,34556.921875,34232.578125,44114608,2026-06-11,,,,,,,,
headline,Nasdaq ETF (UK),EQQQ.L,52883.8984375,383.8984375,0.7312351190476191,52500,,2026-06-11,2026-06-11T14:40:16.112Z,yahoo/yfinance,history_1d,52547,53121,52400,103518,2026-06-11,,,,,,,,
headline,S&P 500 ETF (UK),IUSA.L,5456.25,2.75,0.05042633171357844,5453.5,,2026-06-11,2026-06-11T14:40:16.112Z,yahoo/yfinance,history_1d,5450.25,5474.75,5440,128431,2026-06-11,,,,,,,,
headline,TSX ETF (UK),CSCA.L,22458,107,0.4787257840812491,22351,,2026-06-11,2026-06-11T14:40:16.112Z,yahoo/yfinance,history_1d,22386.505859375,22500,22382,472,2026-06-11,,,,,,,,
breadth,,,,,,,,2026-06-11,2026-06-11T14:40:26.748Z,Barchart,,,,,,,,S&P 500,500,353,147,0,0,sp500-barchart-download-components-260611-intraday.json
breadth,,,,,,,,2026-06-11,2026-06-11T14:40:26.748Z,Nasdaq Exchange,,,,,,,,Nasdaq,3116,1331,1694,91,0,nasdaq-breadth-tv-260611-intraday.json
breadth,,,,,,,,2026-06-11,2026-06-11T14:40:26.748Z,NYSE,,,,,,,,NYSE,1851,738,1113,0,0,nyse-breadth-tv-260611-intraday.json
breadth,,,,,,,,2026-06-11,2026-06-11T14:40:26.748Z,TSX Exchange,,,,,,,,TSX,2416,714,1539,163,0,tsx-breadth-tv-260611-intraday.json
