Date,Index price,ETF price,indicator,signal,raw weight,vol scale,final weight,position,delta position,NAV,drawdown
2025-06-13,7684.69,6579.00,-1.01,3,0.18,0.90,0.16,0.00,0.00,2.42,-0.3%
2025-06-16,7742.25,6643.50,-0.81,3,0.18,0.64,0.12,0.00,0.00,2.42,-0.3%
2025-06-17,7683.74,6606.50,-1.19,5,1.00,0.65,0.65,0.65,0.65,2.42,-0.3%
2025-06-18,7656.13,6602.50,-1.34,5,1.00,0.95,0.95,0.65,0.00,2.42,-0.3%
2025-06-19,7553.45,6504.00,-1.78,5,1.00,1.00,1.00,1.00,0.35,2.40,-1.3%
2025-06-20,7589.67,6537.00,-1.55,5,1.00,0.72,0.72,1.00,0.00,2.41,-0.8%
2025-06-23,7537.58,6503.00,-1.71,3,0.18,0.73,0.13,0.13,-0.87,2.40,-1.3%
2025-06-24,7616.00,6558.00,-1.28,3,0.18,1.00,0.18,0.13,0.00,2.40,-1.2%
2025-06-25,7558.17,6508.00,-1.39,3,0.18,0.85,0.15,0.13,0.00,2.40,-1.3%
2025-06-26,7557.32,6496.50,-1.25,3,0.18,0.90,0.16,0.13,0.00,2.40,-1.3%
2025-06-27,7691.55,6620.00,-0.80,3,0.18,0.54,0.10,0.13,0.00,2.40,-1.1%
2025-06-30,7665.92,6637.00,-0.81,3,0.18,0.66,0.12,0.13,0.00,2.41,-1.0%
2025-07-01,7662.60,6643.50,-0.65,3,0.18,0.67,0.12,0.13,0.00,2.41,-1.0%
2025-07-02,7738.43,6758.50,-0.22,3,0.18,0.67,0.12,0.13,0.00,2.41,-0.8%
2025-07-03,7754.56,6738.00,-0.08,3,0.18,0.55,0.10,0.13,0.00,2.41,-0.8%
2025-07-04,7696.28,6704.50,-0.38,3,0.18,0.46,0.08,0.13,0.00,2.41,-0.9%
2025-07-07,7723.48,6700.50,-0.23,5,1.00,1.00,1.00,1.00,0.87,2.41,-0.9%
2025-07-08,7766.70,6755.50,-0.02,5,1.00,0.73,0.73,1.00,0.00,2.43,-0.1%
2025-07-09,7878.47,6849.50,0.44,5,1.00,0.67,0.67,1.00,0.00,2.46,0.0%
2025-07-10,7902.26,6869.50,0.54,5,1.00,0.89,0.89,1.00,0.00,2.47,0.0%
2025-07-11,7829.30,6839.50,0.25,5,1.00,0.54,0.54,0.54,-0.46,2.46,-0.4%
2025-07-14,7808.18,6845.50,0.05,5,1.00,1.00,1.00,1.00,0.46,2.46,-0.4%
2025-07-15,7766.21,6795.50,-0.25,5,1.00,1.00,1.00,1.00,0.00,2.44,-1.1%
2025-07-16,7722.09,6785.50,-0.61,5,1.00,1.00,1.00,1.00,0.00,2.44,-1.3%
2025-07-17,7821.99,6827.50,-0.34,5,1.00,0.67,0.67,1.00,0.00,2.45,-0.7%
2025-07-18,7822.68,6842.50,-0.09,5,1.00,1.00,1.00,1.00,0.00,2.46,-0.4%
2025-07-21,7798.23,6824.50,-0.15,5,1.00,1.00,1.00,1.00,0.00,2.45,-0.7%
2025-07-22,7744.42,6783.50,-0.31,5,1.00,1.00,1.00,1.00,0.00,2.44,-1.3%
2025-07-23,7850.44,6858.50,0.02,5,1.00,0.51,0.51,0.51,-0.49,2.46,-0.2%
2025-07-24,7818.29,6868.50,0.10,5,1.00,0.54,0.54,0.51,0.00,2.47,-0.1%
2025-07-25,7834.59,6919.00,0.17,5,1.00,0.98,0.98,0.98,0.46,2.48,0.0%
2025-07-28,7800.89,6825.50,-0.06,5,1.00,0.45,0.45,0.45,-0.53,2.44,-1.3%
2025-07-29,7857.37,6857.50,0.05,5,1.00,0.42,0.42,0.45,0.00,2.45,-1.1%
2025-07-30,7861.97,6868.50,-0.07,5,1.00,0.48,0.48,0.45,0.00,2.45,-1.0%
2025-07-31,7771.97,6794.50,-0.19,5,1.00,0.60,0.60,0.45,0.00,2.44,-1.5%
2025-08-01,7546.17,6634.00,-0.64,3,0.18,0.42,0.08,0.45,0.00,2.41,-2.6%
2025-08-04,7632.02,6705.50,-0.49,3,0.18,0.32,0.06,0.45,0.00,2.42,-2.1%
2025-08-05,7621.05,6705.00,-0.39,3,0.18,0.32,0.06,0.45,0.00,2.42,-2.1%
2025-08-06,7635.04,6725.00,-0.21,3,0.18,1.00,0.18,0.45,0.00,2.43,-2.0%
2025-08-07,7709.33,6747.00,0.20,3,0.18,1.00,0.18,0.45,0.00,2.43,-1.8%
2025-08-08,7743.01,6782.00,0.50,3,0.18,1.00,0.18,0.45,0.00,2.44,-1.6%
2025-08-11,7698.53,6723.00,0.35,3,0.18,0.76,0.14,0.45,0.00,2.43,-2.0%
2025-08-12,7753.43,6767.50,0.51,3,0.18,0.74,0.13,0.45,0.00,2.43,-1.7%
2025-08-13,7804.98,6810.00,0.71,3,0.18,0.71,0.13,0.45,0.00,2.44,-1.4%
2025-08-14,7870.35,6827.00,0.97,3,0.18,1.00,0.18,0.45,0.00,2.44,-1.3%
2025-08-15,7923.46,6903.00,1.21,3,0.18,1.00,0.18,0.45,0.00,2.46,-0.8%
