Date,Index price,ETF price,indicator,signal,raw weight,vol scale,final weight,position,delta position,NAV,drawdown
2025-06-18,23317.81,35482.50,-1.76,5,1.00,0.51,0.51,0.15,0.00,8.01,-2.3%
2025-06-19,23057.38,34950.00,-1.91,5,1.00,0.81,0.81,0.81,0.65,7.99,-2.5%
2025-06-20,23350.55,35430.00,-1.75,5,1.00,0.43,0.43,0.81,0.00,8.08,-1.4%
2025-06-23,23269.01,35337.50,-1.84,5,1.00,0.50,0.50,0.81,0.00,8.06,-1.6%
2025-06-24,23641.58,35830.00,-1.42,5,1.00,0.78,0.78,0.81,0.00,8.15,-0.5%
2025-06-25,23498.33,35627.50,-1.58,5,1.00,0.66,0.66,0.81,0.00,8.12,-1.0%
2025-06-26,23649.30,35747.50,-1.35,5,1.00,0.57,0.57,0.81,0.00,8.14,-0.7%
2025-06-27,24033.22,36475.00,-0.73,5,1.00,0.48,0.48,0.81,0.00,8.27,0.0%
2025-06-30,23909.61,36430.00,-0.80,5,1.00,0.55,0.55,0.81,0.00,8.26,-0.1%
2025-07-01,23673.29,36120.00,-0.75,5,1.00,0.50,0.50,0.81,0.00,8.21,-0.8%
2025-07-02,23790.11,36537.50,-0.56,5,1.00,0.90,0.90,0.81,0.00,8.28,0.0%
2025-07-03,23934.13,36547.50,-0.37,5,1.00,0.99,0.99,0.81,0.00,8.29,0.0%
2025-07-04,23787.45,36470.00,-0.61,5,1.00,1.00,1.00,1.00,0.19,8.27,-0.2%
2025-07-07,24073.67,36765.00,-0.49,5,1.00,1.00,1.00,1.00,0.00,8.34,0.0%
2025-07-08,24206.91,37075.00,-0.17,5,1.00,1.00,1.00,1.00,0.00,8.41,0.0%
2025-07-09,24549.56,37535.00,0.29,5,1.00,1.00,1.00,1.00,0.00,8.51,0.0%
2025-07-10,24456.81,37435.00,0.46,5,1.00,1.00,1.00,1.00,0.00,8.49,-0.3%
2025-07-11,24255.31,37280.00,0.11,5,1.00,1.00,1.00,1.00,0.00,8.45,-0.7%
2025-07-14,24160.64,37282.50,-0.16,5,1.00,1.00,1.00,1.00,0.00,8.46,-0.7%
2025-07-15,24060.29,37070.00,-0.19,5,1.00,1.00,1.00,1.00,0.00,8.41,-1.2%
2025-07-16,24009.38,37110.00,-0.35,5,1.00,1.00,1.00,1.00,0.00,8.42,-1.1%
2025-07-17,24370.93,37405.00,-0.09,5,1.00,1.00,1.00,1.00,0.00,8.48,-0.3%
