Date,Index price,ETF price,indicator,signal,raw weight,vol scale,final weight,position,delta position,NAV,drawdown
2025-08-11,14855.90,32180.00,0.84,4,0.30,1.00,0.30,0.30,0.30,2.73,0.0%
2025-08-12,14859.00,32255.00,0.90,4,0.30,1.00,0.30,0.30,0.00,2.73,0.0%
2025-08-13,15019.90,32495.00,1.21,4,0.30,1.00,0.30,0.30,0.00,2.74,0.0%
2025-08-14,15206.40,32752.50,1.42,4,0.30,1.00,0.30,0.30,0.00,2.75,0.0%
2025-08-15,15277.20,33077.50,1.58,2,0.00,1.00,0.00,0.00,-0.30,2.76,0.0%
2025-08-18,15251.70,32995.00,1.64,2,0.00,1.00,0.00,0.00,0.00,2.76,0.0%
2025-08-19,15303.80,33187.50,1.71,2,0.00,1.00,0.00,0.00,0.00,2.76,0.0%
2025-08-20,15292.10,33222.50,1.65,2,0.00,1.00,0.00,0.00,0.00,2.76,0.0%
2025-08-21,15303.80,33180.00,1.51,2,0.00,1.00,0.00,0.00,0.00,2.76,0.0%
2025-08-22,15396.80,33485.00,1.58,2,0.00,1.00,0.00,0.00,0.00,2.76,0.0%
2025-08-26,15119.30,32747.50,0.65,2,0.00,0.50,0.00,0.00,0.00,2.76,0.0%
2025-08-27,15020.90,32472.50,0.40,2,0.00,0.52,0.00,0.00,0.00,2.76,0.0%
2025-08-28,15071.40,32675.00,0.23,2,0.00,0.57,0.00,0.00,0.00,2.76,0.0%
2025-08-29,14935.80,32492.50,-0.31,4,0.30,1.00,0.30,0.30,0.30,2.76,0.0%
2025-09-01,14939.40,32337.50,-0.41,4,0.30,1.00,0.30,0.30,0.00,2.75,-0.1%
2025-09-02,14704.20,32137.50,-0.94,4,0.30,1.00,0.30,0.30,0.00,2.75,-0.3%
2025-09-03,14789.40,32227.50,-0.85,4,0.30,1.00,0.30,0.30,0.00,2.75,-0.2%
2025-09-04,14918.30,32442.50,-0.66,4,0.30,1.00,0.30,0.30,0.00,2.75,-0.0%
2025-09-05,14850.90,32282.50,-0.58,4,0.30,1.00,0.30,0.30,0.00,2.75,-0.2%
2025-09-08,15002.20,32665.00,-0.24,4,0.30,0.87,0.26,0.30,0.00,2.76,0.0%
2025-09-09,15023.90,32667.50,-0.28,4,0.30,0.88,0.26,0.30,0.00,2.76,0.0%
2025-09-10,15217.50,33027.50,-0.17,4,0.30,1.00,0.30,0.30,0.00,2.77,0.0%
2025-09-11,15321.30,33185.00,0.10,4,0.30,1.00,0.30,0.30,0.00,2.77,0.0%
2025-09-12,15308.20,33180.00,0.19,4,0.30,1.00,0.30,0.30,0.00,2.77,-0.0%
2025-09-15,15395.10,33420.00,0.24,4,0.30,1.00,0.30,0.30,0.00,2.78,0.0%
2025-09-16,15163.30,32997.50,-0.18,4,0.30,0.75,0.22,0.30,0.00,2.77,-0.4%
2025-09-17,15127.20,32962.50,-0.47,4,0.30,0.74,0.22,0.30,0.00,2.77,-0.4%
2025-09-18,15175.40,33120.00,-0.48,4,0.30,0.84,0.25,0.30,0.00,2.77,-0.3%
2025-09-19,15260.70,33502.50,-0.48,4,0.30,1.00,0.30,0.30,0.00,2.78,0.0%
2025-09-22,15082.50,33040.00,-0.70,4,0.30,0.57,0.17,0.30,0.00,2.77,-0.4%
2025-09-23,15158.20,33230.00,-0.76,4,0.30,0.56,0.17,0.30,0.00,2.77,-0.2%
2025-09-24,15194.60,33355.00,-0.78,4,0.30,0.69,0.21,0.30,0.00,2.78,-0.1%
2025-09-25,15153.70,33290.00,-0.96,4,0.30,1.00,0.30,0.30,0.00,2.78,-0.2%
2025-09-26,15350.40,33595.00,-0.71,4,0.30,1.00,0.30,0.30,0.00,2.78,0.0%
2025-09-29,15316.30,33642.50,-0.75,4,0.30,1.00,0.30,0.30,0.00,2.78,0.0%
2025-09-30,15475.00,33890.00,-0.40,4,0.30,1.00,0.30,0.30,0.00,2.79,0.0%
2025-10-01,15538.80,33957.50,-0.28,4,0.30,1.00,0.30,0.30,0.00,2.79,0.0%
2025-10-02,15496.20,33925.00,-0.26,4,0.30,1.00,0.30,0.30,0.00,2.79,-0.0%
2025-10-03,15585.10,34072.50,0.02,4,0.30,1.00,0.30,0.30,0.00,2.79,0.0%
2025-10-06,15556.70,33922.50,0.11,4,0.30,1.00,0.30,0.30,0.00,2.79,-0.1%
2025-10-07,15527.00,33805.00,-0.02,4,0.30,1.00,0.30,0.30,0.00,2.79,-0.2%
2025-10-08,15678.30,34142.50,0.32,4,0.30,0.83,0.25,0.30,0.00,2.80,0.0%
2025-10-09,15584.80,34015.00,0.31,4,0.30,0.85,0.26,0.30,0.00,2.79,-0.1%
2025-10-10,15476.50,33830.00,0.05,4,0.30,0.79,0.24,0.30,0.00,2.79,-0.3%
2025-10-13,15541.60,33850.00,0.17,4,0.30,1.00,0.30,0.30,0.00,2.79,-0.3%
