Date,Index price,ETF price,indicator,signal,raw weight,vol scale,final weight,position,delta position,NAV,drawdown
2025-06-27,22534.20,40281.00,0.32,5,0.88,1.00,0.88,0.88,0.00,34.63,0.0%
2025-06-30,22679.01,40346.00,0.58,5,0.88,1.00,0.88,0.88,0.00,34.68,0.0%
2025-07-01,22478.14,40094.00,0.87,5,0.88,1.00,0.88,0.88,0.00,34.49,-0.5%
2025-07-02,22641.89,40606.00,1.02,5,0.88,1.00,0.88,0.88,0.00,34.87,0.0%
2025-07-03,22866.97,40922.00,1.29,5,0.88,1.00,0.88,0.88,0.00,35.11,0.0%
2025-07-04,22866.97,40745.00,1.29,5,0.88,1.00,0.88,0.88,0.00,34.98,-0.4%
2025-07-07,22685.57,40730.00,1.00,5,0.88,1.00,0.88,0.88,0.00,34.97,-0.4%
2025-07-08,22702.25,40880.00,0.82,5,0.88,1.00,0.88,0.88,0.00,35.08,-0.1%
2025-07-09,22864.91,41008.00,0.78,5,0.88,1.00,0.88,0.88,0.00,35.18,0.0%
2025-07-10,22829.26,41142.00,0.88,5,0.88,1.00,0.88,0.88,0.00,35.28,0.0%
2025-07-11,22780.60,41240.00,0.62,6,0.96,1.00,0.96,0.88,0.00,35.35,0.0%
2025-07-14,22855.63,41486.00,0.51,6,0.96,1.00,0.96,0.88,0.00,35.54,0.0%
2025-07-15,22884.59,41972.00,0.05,6,0.96,1.00,0.96,0.88,0.00,35.90,0.0%
2025-07-16,22907.97,41254.00,-0.03,6,0.96,0.61,0.59,0.88,0.00,35.36,-1.5%
2025-07-17,23081.05,42038.00,0.09,6,0.96,0.49,0.47,0.47,-0.41,35.95,0.0%
2025-07-18,23065.47,41926.00,0.13,6,0.96,0.51,0.49,0.47,0.00,35.93,-0.1%
2025-07-21,23180.06,42076.00,0.02,6,0.96,0.83,0.80,0.47,0.00,35.99,0.0%
2025-07-22,23063.58,41768.00,0.21,6,0.96,1.00,0.96,0.96,0.49,35.86,-0.3%
2025-07-23,23162.41,41584.00,0.42,6,0.96,1.00,0.96,0.96,0.00,35.71,-0.8%
2025-07-24,23219.86,41968.50,0.39,6,0.96,1.00,0.96,0.96,0.00,36.03,0.0%
2025-07-25,23272.25,42355.00,0.43,6,0.96,1.00,0.96,0.96,0.00,36.35,0.0%
2025-07-28,23356.27,42589.00,0.22,6,0.96,1.00,0.96,0.96,0.00,36.54,0.0%
