Date,Index price,ETF price,indicator,signal,raw weight,vol scale,final weight,position,delta position,NAV,drawdown
2025-08-06,27920.87,18345.00,,3,0.35,0.51,0.18,0.11,0.00,3.01,-0.2%
2025-08-07,27761.27,18118.50,,3,0.35,0.26,0.09,0.11,0.00,3.00,-0.3%
2025-08-08,27758.68,18098.50,,4,0.60,0.26,0.15,0.11,0.00,3.00,-0.3%
2025-08-11,27775.23,18085.00,,4,0.60,0.62,0.37,0.11,0.00,3.00,-0.3%
2025-08-12,27921.26,18027.50,,6,1.00,1.00,1.00,1.00,0.89,3.00,-0.4%
2025-08-13,27993.43,17988.50,,6,1.00,1.00,1.00,1.00,0.00,2.99,-0.6%
2025-08-14,27915.99,17907.00,,6,1.00,1.00,1.00,1.00,0.00,2.98,-1.1%
2025-08-15,27905.49,17877.00,,6,1.00,1.00,1.00,1.00,0.00,2.97,-1.3%
2025-08-18,27922.85,17899.00,,6,1.00,1.00,1.00,1.00,0.00,2.98,-1.1%
2025-08-19,27823.88,17932.50,,6,1.00,1.00,1.00,1.00,0.00,2.98,-0.9%
2025-08-20,27878.76,17939.50,,6,1.00,1.00,1.00,1.00,0.00,2.98,-0.9%
2025-08-21,28055.43,18009.50,,6,1.00,1.00,1.00,1.00,0.00,3.00,-0.5%
2025-08-22,28333.13,18205.00,,6,1.00,0.61,0.61,0.61,-0.39,3.03,0.0%
2025-08-26,28339.88,18179.00,,6,1.00,0.53,0.53,0.61,0.00,3.02,-0.3%
2025-08-27,28433.00,18344.00,,6,1.00,0.49,0.49,0.61,0.00,3.04,0.0%
2025-08-28,28434.80,18347.00,,6,1.00,0.58,0.58,0.61,0.00,3.04,0.0%
2025-08-29,28564.45,18442.50,,6,1.00,0.73,0.73,0.61,0.00,3.05,0.0%
2025-09-01,28564.45,18470.50,,6,1.00,1.00,1.00,1.00,0.39,3.05,0.0%
2025-09-02,28615.62,18550.00,,6,1.00,1.00,1.00,1.00,0.00,3.05,0.0%
2025-09-03,28751.36,18626.00,,6,1.00,1.00,1.00,1.00,0.00,3.07,0.0%
2025-09-04,28915.89,18659.00,,6,1.00,1.00,1.00,1.00,0.00,3.07,0.0%
2025-09-05,29050.63,18597.50,,6,1.00,0.88,0.88,1.00,0.00,3.06,-0.3%
2025-09-08,29027.73,18638.00,,6,1.00,1.00,1.00,1.00,0.00,3.07,-0.1%
2025-09-09,29063.01,18711.50,,6,1.00,1.00,1.00,1.00,0.00,3.08,0.0%
2025-09-10,29179.39,18683.00,,6,1.00,1.00,1.00,1.00,0.00,3.08,-0.2%
2025-09-11,29407.89,18833.00,,6,1.00,0.79,0.79,1.00,0.00,3.10,0.0%
2025-09-12,29283.82,18750.00,,6,1.00,0.58,0.58,0.58,-0.42,3.09,-0.4%
2025-09-15,29431.02,18787.50,,4,0.60,0.61,0.36,0.58,0.00,3.09,-0.3%
2025-09-16,29315.23,18740.00,,4,0.60,1.00,0.60,0.58,0.00,3.09,-0.4%
2025-09-17,29321.66,18811.50,,4,0.60,1.00,0.60,0.58,0.00,3.09,-0.2%
2025-09-18,29453.53,18966.00,,4,0.60,0.70,0.42,0.58,0.00,3.11,0.0%
2025-09-19,29768.36,19209.00,,2,0.05,0.84,0.04,0.04,-0.54,3.13,0.0%
2025-09-22,29958.98,19273.50,,4,0.60,0.80,0.48,0.48,0.44,3.14,0.0%
2025-09-23,29815.63,19303.00,,4,0.60,0.62,0.37,0.48,0.00,3.14,0.0%
2025-09-24,29756.95,19261.00,,4,0.60,1.00,0.60,0.48,0.00,3.14,-0.1%
2025-09-25,29731.98,19194.50,,4,0.60,1.00,0.60,0.48,0.00,3.13,-0.3%
2025-09-26,29761.28,19149.00,,6,1.00,1.00,1.00,1.00,0.52,3.13,-0.4%
2025-09-29,29971.91,19233.00,,6,1.00,0.89,0.89,1.00,0.00,3.14,-0.1%
2025-09-30,30022.81,19147.50,,6,1.00,0.82,0.82,1.00,0.00,3.13,-0.5%
2025-10-01,30107.67,19271.00,,6,1.00,0.65,0.65,0.65,-0.35,3.15,0.0%
2025-10-02,30160.59,19200.00,,6,1.00,0.62,0.62,0.65,0.00,3.14,-0.3%
2025-10-03,30471.68,19454.00,,4,0.60,0.44,0.27,0.27,-0.39,3.16,0.0%
2025-10-06,30531.88,19567.00,,4,0.60,0.45,0.27,0.27,0.00,3.18,0.0%
2025-10-07,30351.72,19502.00,,2,0.05,0.46,0.02,0.27,0.00,3.17,-0.1%
2025-10-08,30501.99,19526.00,,2,0.05,0.83,0.04,0.27,0.00,3.18,-0.1%
2025-10-09,30269.98,19528.50,,2,0.05,1.00,0.05,0.27,0.00,3.18,-0.1%
2025-10-10,29850.89,19244.50,,4,0.60,0.48,0.29,0.27,0.00,3.16,-0.4%
2025-10-13,29850.89,19431.00,,4,0.60,0.37,0.22,0.27,0.00,3.17,-0.2%
2025-10-14,30353.61,19455.00,,4,0.60,0.37,0.22,0.27,0.00,3.17,-0.1%
2025-10-15,30637.12,19564.00,,4,0.60,1.00,0.60,0.60,0.33,3.18,-0.0%
2025-10-16,30458.80,19519.00,,4,0.60,1.00,0.60,0.60,0.00,3.17,-0.1%
2025-10-17,30108.48,19171.50,,4,0.60,0.38,0.23,0.23,-0.37,3.14,-1.2%
2025-10-20,30416.44,19374.50,,4,0.60,0.32,0.19,0.23,0.00,3.15,-0.8%
2025-10-21,29888.82,19118.50,,4,0.60,0.30,0.18,0.23,0.00,3.14,-1.1%
2025-10-22,29982.98,19220.00,,4,0.60,0.37,0.22,0.23,0.00,3.14,-1.0%
2025-10-23,30186.28,19453.50,,4,0.60,0.35,0.21,0.23,0.00,3.15,-0.7%
2025-10-24,30353.07,19570.50,,6,1.00,1.00,1.00,1.00,0.77,3.16,-0.6%
2025-10-27,30419.68,19493.00,,6,1.00,0.55,0.55,0.55,-0.45,3.14,-1.3%
2025-10-28,30144.78,19802.00,,6,1.00,0.45,0.45,0.55,0.00,3.16,-0.5%
2025-10-29,30178.98,19862.00,,6,1.00,0.45,0.45,0.55,0.00,3.17,-0.3%
2025-10-30,30260.74,19827.00,,6,1.00,0.51,0.51,0.55,0.00,3.16,-0.4%
2025-10-31,30260.74,19738.00,,6,1.00,1.00,1.00,1.00,0.45,3.16,-0.7%
2025-11-03,30275.06,19629.00,,6,1.00,1.00,1.00,1.00,0.00,3.13,-1.4%
2025-11-04,29777.82,19677.00,,6,1.00,1.00,1.00,1.00,0.00,3.14,-1.1%
2025-11-05,30103.48,19690.00,,6,1.00,1.00,1.00,1.00,0.00,3.14,-1.1%
2025-11-06,29868.59,19474.00,,4,0.60,0.65,0.39,0.39,-0.61,3.11,-2.2%
2025-11-07,29912.19,19229.00,,4,0.60,0.66,0.40,0.39,0.00,3.10,-2.6%
2025-11-10,30316.63,19685.00,,4,0.60,0.25,0.15,0.39,0.00,3.12,-1.7%
2025-11-11,30409.25,19799.00,,4,0.60,0.26,0.16,0.39,0.00,3.13,-1.5%
2025-11-12,30827.58,20110.00,,4,0.60,0.53,0.32,0.39,0.00,3.15,-0.9%
2025-11-13,30253.64,19848.50,,6,1.00,0.33,0.33,0.39,0.00,3.13,-1.4%
2025-11-14,30326.46,19775.00,,6,1.00,0.37,0.37,0.39,0.00,3.13,-1.5%
2025-11-17,30076.21,19753.00,,6,1.00,0.93,0.93,0.93,0.54,3.13,-1.6%
2025-11-18,30036.46,19655.00,,6,1.00,1.00,1.00,1.00,0.07,3.14,-1.2%
2025-11-19,30278.41,19769.50,,6,1.00,1.00,1.00,1.00,0.00,3.16,-0.7%
2025-11-20,29906.55,19880.00,,6,1.00,0.98,0.98,1.00,0.00,3.17,-0.1%
2025-11-21,30160.65,19587.00,,6,1.00,0.52,0.52,0.52,-0.48,3.13,-1.6%
2025-11-24,30604.35,19899.50,,6,1.00,0.39,0.39,0.52,0.00,3.17,-0.3%
2025-11-25,30900.65,19966.00,,6,1.00,0.40,0.40,0.52,0.00,3.17,-0.2%
2025-11-26,31180.25,20174.00,,6,1.00,0.99,0.99,0.99,0.47,3.19,0.0%
2025-11-27,31196.71,20217.50,,6,1.00,1.00,1.00,1.00,0.01,3.19,0.0%
2025-11-28,31382.78,20394.00,,4,0.60,1.00,0.60,0.60,-0.40,3.22,0.0%
2025-12-01,31101.78,20310.00,,4,0.60,0.97,0.58,0.60,0.00,3.21,-0.3%
2025-12-02,31049.28,20188.00,,4,0.60,0.79,0.47,0.60,0.00,3.20,-0.6%
2025-12-03,31160.54,20160.00,,4,0.60,1.00,0.60,0.60,0.00,3.20,-0.7%
2025-12-04,31477.57,20356.00,,4,0.60,0.79,0.48,0.60,0.00,3.22,-0.1%
2025-12-05,31311.41,20444.00,,6,1.00,1.00,1.00,1.00,0.40,3.22,0.0%
2025-12-08,31169.97,20455.00,,6,1.00,1.00,1.00,1.00,0.00,3.22,-0.1%
2025-12-09,31244.37,20521.00,,6,1.00,1.00,1.00,1.00,0.00,3.23,0.0%
2025-12-10,31490.85,20457.00,,6,1.00,1.00,1.00,1.00,0.00,3.22,-0.3%
2025-12-11,31660.73,20589.00,,6,1.00,1.00,1.00,1.00,0.00,3.24,0.0%
2025-12-12,31527.39,20553.50,,4,0.60,1.00,0.60,0.60,-0.40,3.24,-0.2%
2025-12-15,31483.44,20592.00,,4,0.60,1.00,0.60,0.60,0.00,3.25,0.0%
2025-12-16,31263.93,20461.00,,4,0.60,1.00,0.60,0.60,0.00,3.24,-0.4%
