Date,Index price,ETF price,indicator,signal,raw weight,vol scale,final weight,position,delta position,NAV,drawdown
2025-07-07,8806.53,858.60,-0.48,3,0.02,1.00,0.02,0.00,0.00,10.45,-0.2%
2025-07-08,8854.18,863.30,-0.50,3,0.02,1.00,0.02,0.00,0.00,10.45,-0.2%
2025-07-09,8867.02,865.00,-0.32,3,0.02,1.00,0.02,0.00,0.00,10.45,-0.2%
2025-07-10,8975.66,875.60,0.04,3,0.02,0.89,0.02,0.00,0.00,10.45,-0.2%
2025-07-11,8941.12,872.30,-0.12,3,0.02,0.77,0.02,0.00,0.00,10.45,-0.2%
2025-07-14,8998.06,877.30,0.13,3,0.02,0.84,0.02,0.00,0.00,10.45,-0.2%
2025-07-15,8938.32,871.20,-0.15,3,0.02,0.65,0.01,0.00,0.00,10.45,-0.2%
2025-07-16,8926.55,870.30,-0.40,3,0.02,0.63,0.01,0.00,0.00,10.45,-0.2%
2025-07-17,8972.64,874.50,-0.16,3,0.02,0.75,0.02,0.00,0.00,10.45,-0.2%
2025-07-18,8992.12,876.20,0.08,3,0.02,0.66,0.01,0.00,0.00,10.45,-0.2%
2025-07-21,9012.99,878.30,0.28,3,0.02,0.69,0.01,0.00,0.00,10.45,-0.2%
2025-07-22,9023.81,879.00,0.28,3,0.02,1.00,0.02,0.00,0.00,10.45,-0.2%
2025-07-23,9061.49,882.70,0.36,3,0.02,1.00,0.02,0.00,0.00,10.45,-0.2%
2025-07-24,9138.37,890.40,0.54,3,0.02,0.65,0.01,0.00,0.00,10.45,-0.2%
2025-07-25,9120.31,888.70,0.73,4,0.92,0.45,0.42,0.42,0.42,10.45,-0.2%
2025-07-28,9081.44,885.30,0.39,4,0.92,0.34,0.32,0.42,0.00,10.43,-0.3%
2025-07-29,9136.32,890.30,0.32,4,0.92,0.33,0.30,0.42,0.00,10.45,-0.1%
2025-07-30,9136.94,890.20,0.31,4,0.92,0.33,0.30,0.42,0.00,10.45,-0.1%
2025-07-31,9132.81,890.30,0.41,4,0.92,0.48,0.45,0.42,0.00,10.45,-0.1%
2025-08-01,9068.58,884.30,0.05,4,0.92,0.37,0.34,0.42,0.00,10.42,-0.4%
2025-08-04,9128.30,889.50,0.14,4,0.92,0.35,0.32,0.42,0.00,10.45,-0.1%
2025-08-05,9142.73,891.20,0.21,4,0.92,0.43,0.39,0.42,0.00,10.46,-0.0%
2025-08-06,9164.31,893.30,0.33,4,0.92,0.43,0.39,0.42,0.00,10.47,0.0%
2025-08-07,9100.77,889.10,0.25,4,0.92,0.38,0.35,0.42,0.00,10.45,-0.2%
2025-08-08,9095.73,888.60,0.26,3,0.02,0.52,0.01,0.01,-0.41,10.45,-0.2%
2025-08-11,9129.71,891.40,0.24,3,0.02,0.65,0.01,0.01,0.00,10.45,-0.2%
2025-08-12,9147.81,893.70,0.30,3,0.02,0.61,0.01,0.01,0.00,10.45,-0.2%
2025-08-13,9165.23,895.60,0.36,3,0.02,0.62,0.01,0.01,0.00,10.45,-0.2%
2025-08-14,9177.24,899.40,0.44,3,0.02,1.00,0.02,0.01,0.00,10.45,-0.2%
2025-08-15,9138.90,895.90,0.28,4,0.92,0.63,0.58,0.58,0.57,10.45,-0.2%
2025-08-18,9157.74,897.20,0.25,4,0.92,0.65,0.60,0.58,0.00,10.45,-0.1%
2025-08-19,9189.22,901.00,0.48,4,0.92,0.60,0.55,0.58,0.00,10.48,0.0%
2025-08-20,9288.14,910.20,0.75,4,0.92,0.41,0.37,0.58,0.00,10.54,0.0%
2025-08-21,9309.20,913.00,0.76,4,0.92,0.41,0.38,0.58,0.00,10.56,0.0%
2025-08-22,9321.40,913.70,0.97,4,0.92,0.55,0.51,0.58,0.00,10.57,0.0%
2025-08-26,9265.80,908.20,0.62,4,0.92,0.36,0.33,0.58,0.00,10.53,-0.3%
2025-08-27,9255.50,907.40,0.32,4,0.92,0.36,0.33,0.58,0.00,10.52,-0.4%
2025-08-28,9216.82,904.40,0.00,4,0.92,0.59,0.55,0.58,0.00,10.50,-0.6%
2025-08-29,9187.34,901.40,-0.36,4,0.92,0.83,0.77,0.58,0.00,10.48,-0.8%
2025-09-01,9196.34,902.00,-0.61,4,0.92,0.86,0.79,0.58,0.00,10.49,-0.7%
2025-09-02,9116.69,894.60,-1.16,4,0.92,0.68,0.62,0.58,0.00,10.44,-1.2%
2025-09-03,9177.99,900.70,-0.99,4,0.92,0.41,0.37,0.58,0.00,10.48,-0.8%
2025-09-04,9216.87,904.50,-0.71,4,0.92,0.39,0.36,0.58,0.00,10.50,-0.6%
2025-09-05,9208.21,903.60,-0.40,3,0.02,0.43,0.01,0.01,-0.57,10.50,-0.6%
2025-09-08,9221.44,904.60,-0.21,3,0.02,0.44,0.01,0.01,0.00,10.50,-0.6%
2025-09-09,9242.53,906.00,-0.20,3,0.02,0.85,0.02,0.01,0.00,10.50,-0.6%
2025-09-10,9225.39,904.30,-0.33,3,0.02,1.00,0.02,0.01,0.00,10.50,-0.6%
2025-09-11,9297.58,904.50,-0.01,3,0.02,1.00,0.02,0.01,0.00,10.50,-0.6%
2025-09-12,9283.29,903.00,0.00,4,0.92,1.00,0.92,0.92,0.91,10.50,-0.6%
2025-09-15,9277.03,902.60,0.10,4,0.92,1.00,0.92,0.92,0.00,10.49,-0.7%
2025-09-16,9195.66,894.10,-0.20,4,0.92,0.69,0.63,0.92,0.00,10.40,-1.5%
2025-09-17,9208.37,895.60,-0.02,4,0.92,0.63,0.58,0.92,0.00,10.42,-1.4%
2025-09-18,9228.11,897.80,0.11,4,0.92,0.60,0.55,0.92,0.00,10.44,-1.2%
2025-09-19,9216.67,896.00,0.08,3,0.02,0.59,0.01,0.01,-0.91,10.42,-1.3%
2025-09-22,9226.68,895.90,0.04,3,0.02,0.60,0.01,0.01,0.00,10.42,-1.3%
2025-09-23,9223.32,896.00,0.09,3,0.02,1.00,0.02,0.01,0.00,10.42,-1.3%
2025-09-24,9250.43,898.20,0.02,3,0.02,1.00,0.02,0.01,0.00,10.42,-1.3%
2025-09-25,9213.98,895.30,-0.24,3,0.02,1.00,0.02,0.01,0.00,10.42,-1.3%
2025-09-26,9284.83,901.70,-0.02,3,0.02,0.76,0.02,0.01,0.00,10.42,-1.3%
2025-09-29,9299.84,903.80,0.26,3,0.02,0.78,0.02,0.01,0.00,10.42,-1.3%
2025-09-30,9350.43,908.40,0.65,3,0.02,0.77,0.02,0.01,0.00,10.43,-1.3%
2025-10-01,9446.43,918.20,0.84,3,0.02,0.60,0.01,0.01,0.00,10.43,-1.3%
2025-10-02,9427.73,916.90,0.91,3,0.02,0.70,0.01,0.01,0.00,10.43,-1.3%
2025-10-03,9491.25,922.80,1.12,4,0.92,0.72,0.67,0.67,0.65,10.43,-1.3%
2025-10-06,9479.14,921.90,0.99,4,0.92,0.64,0.59,0.67,0.00,10.42,-1.4%
