Date,Index price,ETF price,indicator,signal,raw weight,vol scale,final weight,position,delta position,NAV,drawdown
2025-07-25,23534.26,8992.00,0.37,0,0.00,1.00,0.00,0.00,-1.00,6.61,0.0%
2025-07-28,23518.42,9002.00,0.16,0,0.00,1.00,0.00,0.00,0.00,6.65,0.0%
2025-07-29,23573.82,9012.50,0.04,0,0.00,1.00,0.00,0.00,0.00,6.65,0.0%
2025-07-30,23600.96,9045.00,-0.22,0,0.00,1.00,0.00,0.00,0.00,6.65,0.0%
2025-07-31,23590.89,9074.00,-0.60,0,0.00,1.00,0.00,0.00,0.00,6.65,0.0%
2025-08-01,23232.59,8873.00,-1.01,0.5,0.50,1.00,0.50,0.50,0.50,6.65,0.0%
2025-08-04,23467.99,8971.00,-0.88,0.5,0.50,1.00,0.50,0.50,0.00,6.68,0.0%
2025-08-05,23419.48,8950.00,-0.85,0.5,0.50,1.00,0.50,0.50,0.00,6.67,-0.1%
2025-08-06,23520.54,8986.00,-0.86,0.5,0.50,1.00,0.50,0.50,0.00,6.68,0.0%
2025-08-07,23422.12,8953.00,-0.86,0.5,0.50,1.00,0.50,0.50,0.00,6.67,-0.2%
2025-08-08,23517.09,8980.00,-0.75,0.5,0.50,1.00,0.50,0.50,0.00,6.68,-0.0%
2025-08-11,23503.00,9014.00,-0.84,0.5,0.50,1.00,0.50,0.50,0.00,6.69,0.0%
2025-08-12,23610.59,9008.00,-0.62,0.5,0.50,1.00,0.50,0.50,0.00,6.69,-0.0%
2025-08-13,23584.55,9010.00,-0.24,0.5,0.50,1.00,0.50,0.50,0.00,6.69,-0.0%
2025-08-14,23594.98,9021.00,-0.23,0.5,0.50,1.00,0.50,0.50,0.00,6.70,0.0%
2025-08-15,23596.67,9024.00,-0.27,0.5,0.50,1.00,0.50,0.50,0.00,6.70,0.0%
2025-08-18,23650.11,9041.00,-0.33,0.5,0.50,1.00,0.50,0.50,0.00,6.70,0.0%
2025-08-19,23586.82,9050.00,-0.21,0.5,0.50,1.00,0.50,0.50,0.00,6.71,0.0%
2025-08-20,23604.54,9020.00,-0.15,0.5,0.50,1.00,0.50,0.50,0.00,6.70,-0.2%
2025-08-21,23591.15,9049.00,-0.30,0.5,0.50,1.00,0.50,0.50,0.00,6.71,-0.0%
2025-08-22,23766.75,9100.00,-0.05,0.5,0.50,1.00,0.50,0.50,0.00,6.73,0.0%
2025-08-26,23759.88,9059.00,-0.26,0.5,0.50,1.00,0.50,0.50,0.00,6.71,-0.2%
2025-08-27,23813.25,9103.00,-0.12,0.5,0.50,1.00,0.50,0.50,0.00,6.73,0.0%
2025-08-28,23831.65,9088.00,-0.12,0.5,0.50,1.00,0.50,0.50,0.00,6.72,-0.1%
2025-08-29,23709.98,9056.00,-0.10,0.5,0.50,1.00,0.50,0.50,0.00,6.71,-0.3%
2025-09-01,23639.29,9060.00,-0.10,0.5,0.50,1.00,0.50,0.50,0.00,6.71,-0.2%
2025-09-02,23713.53,9030.00,-0.37,0.5,0.50,1.00,0.50,0.50,0.00,6.70,-0.4%
2025-09-03,23741.89,9064.00,-0.52,0.5,0.50,1.00,0.50,0.50,0.00,6.71,-0.2%
2025-09-04,23928.40,9125.00,-0.38,0.5,0.50,1.00,0.50,0.50,0.00,6.74,0.0%
2025-09-05,23774.38,9072.00,-0.27,0.5,0.50,1.00,0.50,0.50,0.00,6.72,-0.3%
2025-09-08,23826.97,9125.00,-0.28,0.5,0.50,1.00,0.50,0.50,0.00,6.74,0.0%
2025-09-09,23868.07,9115.00,-0.35,0.5,0.50,1.00,0.50,0.50,0.00,6.73,-0.1%
2025-09-10,23909.10,9148.00,-0.46,0.5,0.50,1.00,0.50,0.50,0.00,6.74,0.0%
2025-09-11,24073.86,9207.00,-0.24,0.5,0.50,1.00,0.50,0.50,0.00,6.77,0.0%
2025-09-12,24059.81,9207.00,-0.31,0.5,0.50,1.00,0.50,0.50,0.00,6.77,0.0%
2025-09-15,24126.19,9225.00,-0.45,0.5,0.50,1.00,0.50,0.50,0.00,6.77,0.0%
2025-09-16,23987.32,9176.00,-0.57,0.5,0.50,1.00,0.50,0.50,0.00,6.75,-0.3%
2025-09-17,23954.79,9164.00,-0.57,0.5,0.50,1.00,0.50,0.50,0.00,6.75,-0.3%
