as_of_date,USA,Canada,Switzerland,UK,Japan,Pacific ex Japan,Germany,Nordic Countries,France,Italy,Spain,Europe,World,Emerging Markets,World Small Cap,World Enhanced Value,World Momentum,World Sector Neutral Quality,Europe Sector Neutral Quality,US Sector Neutral Quality,World Minimum Volatility
2026-05-04,36747.697,22628.746,42408.653,21748.229,21010.185,18462.96,17787.648,62998.512,19453.016,3770.895,13681.147,22489.802,26505.957,996.928,1032.406,3413.134,7179.249,4163.282,,,6251.305
2026-05-05,37010.77,22540.904,42611.662,21428.51,20912.818,18439.636,18090.059,63384.609,19694.969,3850.452,13900.862,22633.606,26658.174,996.084,1041.727,3486.043,7300.816,4182.138,,,6248.962
2026-05-06,37453.29,22691.011,43418.655,21882.167,21038.978,18786.768,18446.727,64556.678,20302.227,3946.32,14251.403,23186.07,27019.997,1024.049,1053.578,3538.171,7446.877,4235.307,,,6250.698
2026-05-07,37221.171,22509.547,42995.396,21538.092,21679.193,18963.306,18278.119,63622.016,20057.164,3913.568,14225.401,22927.987,26896.052,1036.751,1046.972,3514.956,7352.242,4216.969,,,6246.68
2026-05-08,37513.682,22569.844,42848.971,21454.308,21550.336,18681.852,18029.711,62985.393,19844.038,3915.231,14111.092,22785.29,27004.048,1029.54,1053.255,3607.44,7477.036,4220.157,,,6227.072
2026-05-11,37556.131,22600.042,42807.338,21544.043,21523.677,18638.569,18065.281,63395.872,19761.486,3941.868,14062.953,22810.326,27027.905,1036.155,1051.13,3655.403,7595.534,4217.407,,,6226.125
2026-05-12,37818.155,22817.306,43015.603,21551.11,21815.186,18731.908,17862.352,63234.356,19674.143,3912.314,13932.183,22705.661,27178.015,1030.044,1051.128,3636.073,7592.284,4244.712,,,6288.432
2026-05-13,38072.137,22651.111,43227.584,21699.973,22060.693,18725.726,17968.923,63412.8,19708.072,3929.599,13967.978,22858.19,27349.441,1034.559,1051.599,3686.983,7694.627,4266.066,,,6299.187
2026-05-14,38463.363,22845.201,43296.092,21849.137,21791.461,18754.814,18216.389,63401.608,19884.272,3964.788,14077.43,23043.705,27577.8,1043.887,1056.061,3700.463,7711.691,4301.85,2594.388,11958.327,6341.372
2026-05-15,38371.305,22807.558,43586.018,21453.871,21821.864,18777.045,17967.952,63620.898,19687.085,3918.644,14027.189,22843.138,27493.134,1025.337,1050.642,3659.95,7605.127,4300.942,2585.415,11972.809,6354.433
2026-05-18,38204.885,22755.543,43546.2,21725.251,21532.835,18534.222,18177.189,63649.777,19756.34,3917.259,14093.618,22919.644,27388.182,1018.524,1043.147,3621.534,7498.641,4292.927,2591.176,11955.163,6402.117
2026-05-19,37962.764,22724.033,43698.177,21728.751,21651.412,18571.361,18194.106,63577.829,19669.432,3876.412,13994.575,22881.427,27263.354,1003.795,1035.989,3622.848,7465.249,4273.901,2592.526,11878.738,6411.819
2026-05-20,38266.755,22987.489,43900.859,21931.039,21286.709,18462.083,18413.31,64207.578,19984.948,3931.246,14282.284,23186.071,27460.882,999.838,1046.951,3666.388,7546.769,4304.198,2616.881,11993.817,6396.746
