Date,EquityPCR
2026-04-28,0.52
2026-04-29,0.52
2026-04-30,0.46
2026-05-01,0.46
2026-05-04,0.54
2026-05-05,0.57
2026-05-06,0.51
2026-05-07,0.46
2026-05-08,0.53
2026-05-11,0.43
2026-05-12,0.49
2026-05-13,0.50
2026-05-14,0.51
2026-05-15,0.59
2026-05-18,0.51
2026-05-19,0.56
2026-05-20,0.49
2026-05-21,0.49
2026-05-22,0.55
2026-05-26,0.47
2026-05-27,0.43
2026-05-28,0.39
2026-05-29,0.42
2026-06-01,0.44
2026-06-02,0.43
2026-06-03,0.49
2026-06-04,0.44
2026-06-05,0.67
2026-06-08,0.52
2026-06-09,0.62
2026-06-10,0.66
2026-06-11,0.56
2026-06-12,0.54
2026-06-15,0.54
2026-06-16,0.59
2026-06-17,0.59
2026-06-18,0.58
2026-06-23,0.56
2026-06-24,0.61
2026-06-25,0.67
2026-06-26,0.85
2026-06-29,0.59
2026-06-30,0.64
2026-07-01,0.69
2026-07-02,0.53
2026-07-06,0.62
2026-07-07,0.69
2026-07-08,0.86
2026-07-09,0.57
2026-07-10,0.55
2026-07-13,0.67
2026-07-29,0.61
2026-07-30,0.61
2026-07-31,0.63
2026-08-03,0.55
2026-08-04,0.46
2026-08-05,0.60
2026-08-06,0.57
2026-08-07,0.54
2026-08-10,0.61
2026-08-11,0.63
2026-08-12,0.61
