Kind,Name,Symbol,Price,Change,PctChange,PrevClose,QuoteTimestamp,DateUK,Timestamp,Source,Method,Open,High,Low,Volume,QuoteDate,QuoteTime,Index,Total,Up,Down,Unchanged,Unknown,InputFile
headline,DAX,^GDAXI,24282.810546875,87.5,0.3616403262544661,24195.310546875,,2026-06-11,2026-06-11T14:02:40.131Z,yahoo/yfinance,history_1d,24205.16015625,24290.0390625,24080.640625,0,2026-06-11,,,,,,,,
headline,IBEX 35,^IBEX,18365.5,222.80078125,1.2280464916694493,18142.69921875,,2026-06-11,2026-06-11T14:02:40.131Z,yahoo/yfinance,history_1d,18186.400390625,18401.599609375,18150.80078125,107858866,2026-06-11,,,,,,,,
headline,CAC 40,^FCHI,8231.9697265625,70.1396484375,0.8593617824204083,8161.830078125,,2026-06-11,2026-06-11T14:02:40.131Z,yahoo/yfinance,history_1d,8154.5400390625,8245.8896484375,8150.06005859375,0,2026-06-11,,,,,,,,
headline,FTSE 100,^FTSE,10352.5595703125,97.759765625,0.9533074022597078,10254.7998046875,,2026-06-11,2026-06-11T14:02:40.131Z,yahoo/yfinance,history_1d,10255.16015625,10361.400390625,10252.26953125,0,2026-06-11,,,,,,,,
headline,DAX ETF (UK),CG1.L,37085,157.5,0.42651140748764477,36927.5,,2026-06-11,2026-06-11T14:02:40.131Z,yahoo/yfinance,history_1d,36945,37085,36850,358,2026-06-11,,,,,,,,
headline,IBEX 35 ETF (UK),CS1.L,40578.33203125,400.83203125,0.9976529929687015,40177.5,,2026-06-11,2026-06-11T14:02:40.131Z,yahoo/yfinance,history_1d,40300,40735,40070,56,2026-06-11,,,,,,,,
headline,CAC 40 ETF (UK),CACX.L,7143,32.5,0.45707052949862875,7110.5,,2026-06-11,2026-06-11T14:02:40.131Z,yahoo/yfinance,history_1d,7097,7168,7088,1479,2026-06-11,,,,,,,,
headline,FTSE 100 ETF (UK),ISF.L,1019.7999877929688,11,1.0904044541143945,1008.7999877929688,,2026-06-11,2026-06-11T14:02:40.131Z,yahoo/yfinance,history_1d,1008.5999755859375,1020.4000244140625,1005.4000244140625,6380963,2026-06-11,,,,,,,,
breadth,,,,,,,,2026-06-11,2026-06-11T14:02:53.977Z,MarketScreener,,,,,,,,DAX,40,27,12,1,0,dax_ms-constituents-260611-intraday.json
breadth,,,,,,,,2026-06-11,2026-06-11T14:02:53.977Z,BME Exchange,,,,,,,,IBEX 35,35,29,5,0,1,ibex35-constituents-260611-intraday.json
breadth,,,,,,,,2026-06-11,2026-06-11T14:02:53.977Z,Euronext,,,,,,,,CAC 40,40,30,9,1,0,cac40-constituents-260611-intraday.json
breadth,,,,,,,,2026-06-11,2026-06-11T14:02:53.977Z,LSE,,,,,,,,FTSE 100,99,72,24,0,3,ftse100-lse-constituents-260611-intraday.json
