Kind,Name,Symbol,Price,Change,PctChange,PrevClose,QuoteTimestamp,DateUK,Timestamp,Source,Method,Open,High,Low,Volume,QuoteDate,QuoteTime,Index,Total,Up,Down,Unchanged,Unknown,InputFile
headline,Nasdaq,^NDX,28834.28125,326.251953125,1.1444212776951341,28508.029296875,,2026-06-11,2026-06-11T13:49:10.948Z,yahoo/yfinance,history_1d,28731.158203125,28856.9609375,28620.01953125,146586368,2026-06-11,,,,,,,,
headline,S&P 500,^GSPC,7304.93017578125,37.93994140625,0.5220860381342323,7266.990234375,,2026-06-11,2026-06-11T13:49:10.948Z,yahoo/yfinance,history_1d,7287.669921875,7309.7099609375,7276.919921875,340529286,2026-06-11,,,,,,,,
headline,TSX,^GSPTSE,34529.2890625,377.98828125,1.1068049315929012,34151.30078125,,2026-06-11,2026-06-11T13:49:10.948Z,yahoo/yfinance,history_1d,34232.578125,34529.2890625,34232.578125,21305280,2026-06-11,,,,,,,,
headline,Nasdaq ETF (UK),EQQQ.L,52608,108,0.2057142857142857,52500,,2026-06-11,2026-06-11T13:49:10.948Z,yahoo/yfinance,history_1d,52547,52876,52449,75836,2026-06-11,,,,,,,,
headline,S&P 500 ETF (UK),IUSA.L,5452.75,-0.75,-0.01375263592188503,5453.5,,2026-06-11,2026-06-11T13:49:10.948Z,yahoo/yfinance,history_1d,5450.25,5473,5445,89166,2026-06-11,,,,,,,,
headline,TSX ETF (UK),CSCA.L,22408,57,0.2550221466601047,22351,,2026-06-11,2026-06-11T13:49:10.948Z,yahoo/yfinance,history_1d,22386.505859375,22467,22382,460,2026-06-11,,,,,,,,
breadth,,,,,,,,2026-06-11,2026-06-11T13:49:20.856Z,Barchart,,,,,,,,S&P 500,500,361,137,0,2,sp500-barchart-download-components-260611-intraday.json
breadth,,,,,,,,2026-06-11,2026-06-11T13:49:20.856Z,Nasdaq Exchange,,,,,,,,Nasdaq,3116,1331,1694,91,0,nasdaq-breadth-tv-260611-intraday.json
breadth,,,,,,,,2026-06-11,2026-06-11T13:49:20.856Z,NYSE,,,,,,,,NYSE,1851,738,1113,0,0,nyse-breadth-tv-260611-intraday.json
breadth,,,,,,,,2026-06-11,2026-06-11T13:49:20.856Z,TSX Exchange,,,,,,,,TSX,2416,714,1539,163,0,tsx-breadth-tv-260611-intraday.json
